Date,Open,High,Low,Close,Adj Close
16-11-21,18127.05,18132.65,17958.8,17999.2,17999.2
17-11-21,17939.35,18022.65,17879.25,17898.65,17898.65
18-11-21,17890.55,17945.6,17688.5,17764.8,17764.8
22-11-21,17796.25,17805.25,17280.45,17416.55,17416.55
23-11-21,17281.75,17553.7,17216.1,17503.35,17503.35
24-11-21,17550.05,17600.6,17354,17415.05,17415.05
25-11-21,17417.3,17564.35,17351.7,17536.25,17536.25
26-11-21,17338.75,17355.4,16985.7,17026.45,17026.45
29-11-21,17055.8,17160.7,16782.4,17053.95,17053.95
30-11-21,17051.15,17324.65,16931.4,16983.2,16983.2
01-12-21,17104.4,17213.05,17064.25,17166.9,17166.9
02-12-21,17183.2,17420.35,17149.3,17401.65,17401.65
03-12-21,17424.9,17489.8,17180.8,17196.7,17196.7
06-12-21,17209.05,17216.75,16891.7,16912.25,16912.25
07-12-21,17044.1,17251.65,16987.75,17176.7,17176.7
08-12-21,17315.25,17484.6,17308.95,17469.75,17469.75
09-12-21,17524.4,17543.25,17379.6,17516.85,17516.85
10-12-21,17476.05,17534.35,17405.25,17511.3,17511.3
13-12-21,17619.1,17639.5,17355.95,17368.25,17368.25
14-12-21,17283.2,17376.2,17225.8,17324.9,17324.9
15-12-21,17323.65,17351.2,17192.2,17221.4,17221.4
16-12-21,17373,17379.35,17184.95,17248.4,17248.4
17-12-21,17276,17298.15,16966.45,16985.2,16985.2
20-12-21,16824.25,16840.1,16410.2,16614.2,16614.2
21-12-21,16773.15,16936.4,16688.25,16770.85,16770.85
22-12-21,16865.55,16971,16819.5,16955.45,16955.45
23-12-21,17066.8,17118.65,17015.55,17072.6,17072.6
24-12-21,17149.5,17155.6,16909.6,17003.75,17003.75
27-12-21,16937.75,17112.05,16833.2,17086.25,17086.25
28-12-21,17177.6,17250.25,17161.15,17233.25,17233.25
29-12-21,17220.1,17285.95,17176.65,17213.6,17213.6
30-12-21,17201.45,17264.05,17146.35,17203.95,17203.95
31-12-21,17244.5,17400.8,17238.5,17354.05,17354.05
03-01-22,17387.15039,17646.65039,17383.30078,17625.69922,17625.69922
04-01-22,17681.40039,17827.59961,17593.55078,17805.25,17805.25
05-01-22,17820.09961,17944.69922,17748.84961,17925.25,17925.25
06-01-22,17768.5,17797.94922,17655.55078,17745.90039,17745.90039
07-01-22,17797.59961,17905,17704.55078,17812.69922,17812.69922
10-01-22,17913.30078,18017.44922,17879.15039,18003.30078,18003.30078
11-01-22,17997.75,18081.25,17964.40039,18055.75,18055.75
12-01-22,18170.40039,18227.94922,18128.80078,18212.34961,18212.34961
13-01-22,18257,18272.25,18163.80078,18257.80078,18257.80078
14-01-22,18185,18286.94922,18119.65039,18255.75,18255.75
17-01-22,18235.65039,18321.55078,18228.75,18308.09961,18308.09961
18-01-22,18337.19922,18350.94922,18085.90039,18113.05078,18113.05078
19-01-22,18129.19922,18129.19922,17884.90039,17938.40039,17938.40039
20-01-22,17921,17943.69922,17648.44922,17757,17757
21-01-22,17613.69922,17707.59961,17485.84961,17617.15039,17617.15039
24-01-22,17575.15039,17599.40039,16997.84961,17149.09961,17149.09961
25-01-22,17001.55078,17309.15039,16836.80078,17277.94922,17277.94922
27-01-22,17062,17182.5,16866.75,17110.15039,17110.15039
28-01-22,17208.30078,17373.5,17077.09961,17101.94922,17101.94922
31-01-22,17301.05078,17410,17264.15039,17339.84961,17339.84961
01-02-22,17529.44922,17622.40039,17244.55078,17576.84961,17576.84961
02-02-22,17706.19922,17794.59961,17674.80078,17780,17780
03-02-22,17767.75,17781.15039,17511.15039,17560.19922,17560.19922
04-02-22,17590.19922,17617.80078,17462.55078,17516.30078,17516.30078
07-02-22,17456.30078,17536.75,17119.40039,17213.59961,17213.59961
08-02-22,17279.84961,17306.44922,17043.65039,17266.75,17266.75
09-02-22,17370.09961,17477.15039,17339,17463.80078,17463.80078
10-02-22,17554.09961,17639.44922,17427.15039,17605.84961,17605.84961
11-02-22,17451,17454.75,17303,17374.75,17374.75
14-02-22,17076.15039,17099.5,16809.65039,16842.80078,16842.80078
15-02-22,16933.25,17375,16839.25,17352.44922,17352.44922
16-02-22,17408.44922,17490.59961,17257.69922,17322.19922,17322.19922
17-02-22,17396.55078,17442.90039,17235.84961,17304.59961,17304.59961
18-02-22,17236.05078,17380.80078,17219.19922,17276.30078,17276.30078
21-02-22,17192.25,17351.05078,17070.69922,17206.65039,17206.65039
22-02-22,16847.94922,17148.55078,16843.80078,17092.19922,17092.19922
23-02-22,17194.5,17220.69922,17027.84961,17063.25,17063.25
24-02-22,16548.90039,16705.25,16203.25,16247.9502,16247.9502
25-02-22,16515.65039,16748.80078,16478.30078,16658.40039,16658.40039
28-02-22,16481.59961,16815.90039,16356.29981,16793.90039,16793.90039
02-03-22,16593.09961,16678.5,16478.65039,16605.94922,16605.94922
03-03-22,16723.19922,16768.94922,16442.94922,16498.05078,16498.05078
04-03-22,16339.4502,16456,16133.79981,16245.34961,16245.34961
07-03-22,15867.9502,15944.59961,15711.4502,15863.15039,15863.15039
08-03-22,15747.75,16028.75,15671.4502,16013.4502,16013.4502
09-03-22,16078,16418.05078,15990,16345.34961,16345.34961
10-03-22,16757.09961,16757.30078,16447.90039,16594.90039,16594.90039
11-03-22,16528.80078,16694.40039,16470.90039,16630.44922,16630.44922
14-03-22,16633.69922,16887.94922,16606.5,16871.30078,16871.30078
15-03-22,16900.65039,16927.75,16555,16663,16663
16-03-22,16876.65039,16987.90039,16837.84961,16975.34961,16975.34961
17-03-22,17202.90039,17344.59961,17175.75,17287.05078,17287.05078
21-03-22,17329.5,17353.34961,17096.40039,17117.59961,17117.59961
22-03-22,17120.40039,17334.40039,17006.30078,17315.5,17315.5
23-03-22,17405.05078,17442.40039,17199.59961,17245.65039,17245.65039
24-03-22,17094.94922,17291.75,17091.15039,17222.75,17222.75
25-03-22,17289,17294.90039,17076.55078,17153,17153
28-03-22,17181.84961,17235.09961,17003.90039,17222,17222
29-03-22,17297.19922,17343.65039,17235.69922,17325.30078,17325.30078
30-03-22,17468.15039,17522.5,17387.19922,17498.25,17498.25
31-03-22,17519.19922,17559.80078,17435.19922,17464.75,17464.75
01-04-22,17436.90039,17703.69922,17422.69922,17670.44922,17670.44922
04-04-22,17809.09961,18114.65039,17791.40039,18053.40039,18053.40039
05-04-22,18080.59961,18095.44922,17921.55078,17957.40039,17957.40039
06-04-22,17842.75,17901,17779.84961,17807.65039,17807.65039
07-04-22,17723.30078,17787.5,17623.69922,17639.55078,17639.55078
08-04-22,17698.15039,17842.75,17600.55078,17784.34961,17784.34961
11-04-22,17740.90039,17779.05078,17650.94922,17674.94922,17674.94922
12-04-22,17584.84961,17595.30078,17442.34961,17530.30078,17530.30078
13-04-22,17599.90039,17663.65039,17457.40039,17475.65039,17475.65039
18-04-22,17183.44922,17237.75,17067.84961,17173.65039,17173.65039
19-04-22,17258.94922,17275.65039,16824.69922,16958.65039,16958.65039
20-04-22,17045.25,17186.90039,16978.94922,17136.55078,17136.55078
21-04-22,17234.59961,17414.69922,17215.5,17392.59961,17392.59961
22-04-22,17242.75,17315.30078,17149.19922,17171.94922,17171.94922
25-04-22,17009.05078,17054.30078,16888.69922,16953.94922,16953.94922
26-04-22,17121.30078,17223.84961,17064.44922,17200.80078,17200.80078
27-04-22,17073.34961,17110.69922,16958.44922,17038.40039,17038.40039
28-04-22,17189.5,17322.5,17071.05078,17245.05078,17245.05078
29-04-22,17329.25,17377.65039,17053.25,17102.55078,17102.55078
02-05-22,16924.44922,17092.25,16917.25,17069.09961,17069.09961
04-05-22,17096.59961,17132.84961,16623.94922,16677.59961,16677.59961
05-05-22,16854.75,16945.69922,16651.84961,16682.65039,16682.65039
06-05-22,16415.55078,16484.19922,16340.90039,16411.25,16411.25
09-05-22,16227.7002,16403.69922,16142.09961,16301.84961,16301.84961
10-05-22,16248.90039,16404.55078,16197.29981,16240.04981,16240.04981
11-05-22,16270.04981,16318.75,15992.59961,16167.09961,16167.09961
12-05-22,16021.09961,16041.9502,15735.75,15808,15808
13-05-22,15977,16083.59961,15740.84961,15782.15039,15782.15039
16-05-22,15845.09961,15977.9502,15739.65039,15842.29981,15842.29981
17-05-22,15912.59961,16284.25,15900.79981,16259.29981,16259.29981
18-05-22,16318.15039,16399.80078,16211.2002,16240.29981,16240.29981
19-05-22,15917.40039,15984.75,15775.2002,15809.40039,15809.40039
20-05-22,16043.79981,16283.04981,16003.84961,16266.15039,16266.15039
23-05-22,16290.9502,16414.69922,16185.75,16214.7002,16214.7002
24-05-22,16225.54981,16262.79981,16078.59961,16125.15039,16125.15039
25-05-22,16196.34961,16223.34961,16006.9502,16025.79981,16025.79981
26-05-22,16105,16204.4502,15903.7002,16170.15039,16170.15039
27-05-22,16296.59961,16370.59961,16221.9502,16352.4502,16352.4502
30-05-22,16527.90039,16695.5,16506.15039,16661.40039,16661.40039
31-05-22,16578.44922,16690.75,16521.90039,16584.55078,16584.55078
01-06-22,16594.40039,16649.19922,16438.84961,16522.75,16522.75
02-06-22,16481.65039,16646.40039,16443.05078,16628,16628
03-06-22,16761.65039,16793.84961,16567.90039,16584.30078,16584.30078
06-06-22,16530.69922,16610.94922,16444.55078,16569.55078,16569.55078
07-06-22,16469.59961,16487.25,16347.09961,16416.34961,16416.34961
08-06-22,16474.94922,16514.30078,16293.34961,16356.25,16356.25
09-06-22,16263.84961,16492.80078,16243.84961,16478.09961,16478.09961
10-06-22,16283.9502,16324.7002,16172.59961,16201.79981,16201.79981
13-06-22,15877.54981,15886.15039,15684,15774.40039,15774.40039
14-06-22,15674.25,15858,15659.4502,15732.09961,15732.09961
15-06-22,15729.25,15783.65039,15678.90039,15692.15039,15692.15039
16-06-22,15832.25,15863.15039,15335.09961,15360.59961,15360.59961
17-06-22,15272.65039,15400.40039,15183.40039,15293.5,15293.5
20-06-22,15334.5,15382.5,15191.09961,15350.15039,15350.15039
21-06-22,15455.9502,15707.25,15419.84961,15638.79981,15638.79981
22-06-22,15545.65039,15565.40039,15385.9502,15413.29981,15413.29981
23-06-22,15451.54981,15628.4502,15367.5,15556.65039,15556.65039
24-06-22,15657.40039,15749.25,15619.4502,15699.25,15699.25
27-06-22,15926.2002,15927.4502,15815.5,15832.04981,15832.04981
28-06-22,15757.4502,15892.09961,15710.15039,15850.2002,15850.2002
29-06-22,15701.7002,15861.59961,15687.79981,15799.09961,15799.09961
30-06-22,15774.5,15890,15728.84961,15780.25,15780.25
01-07-22,15703.7002,15793.9502,15511.04981,15752.04981,15752.04981
04-07-22,15710.5,15852.34961,15661.79981,15835.34961,15835.34961
05-07-22,15909.15039,16025.75,15785.4502,15810.84961,15810.84961
06-07-22,15818.2002,16011.34961,15800.90039,15989.79981,15989.79981
07-07-22,16113.75,16150.5,16045.9502,16132.90039,16132.90039
08-07-22,16273.65039,16275.5,16157.90039,16220.59961,16220.59961
11-07-22,16136.15039,16248.54981,16115.5,16216,16216
12-07-22,16126.2002,16158.75,16031.15039,16058.29981,16058.29981
13-07-22,16128.2002,16140,15950.15039,15966.65039,15966.65039
14-07-22,16018.84961,16070.84961,15858.2002,15938.65039,15938.65039
15-07-22,16010.79981,16066.9502,15927.29981,16049.2002,16049.2002
18-07-22,16151.40039,16287.9502,16142.2002,16278.5,16278.5
19-07-22,16187.04981,16359.5,16187.04981,16340.54981,16340.54981
20-07-22,16562.80078,16588,16490.94922,16520.84961,16520.84961
21-07-22,16523.55078,16626.94922,16483.90039,16605.25,16605.25
22-07-22,16661.25,16752.25,16610.90039,16719.44922,16719.44922
25-07-22,16662.55078,16706.05078,16564.25,16631,16631
